input,output
what is -18142983358041255250 / -35215552949588480249,0.52
what is 34247357449207656107 + 67771260033029367808,102018617482237023915
what is 13119535320035972761 - -27866290181073354053,40985825501109326814
what is -67296797835690143381 + -12546122774576176449,-79842920610266319830
what is -33714753319252624080 + -87508169886697433882,-121222923205950057962
what is -79590553058095520641 + 19553778487432841229,-60036774570662679412
what is -67435308488822603745 * 40998552495878770540,-2764750035154772802837755317232199672300
what is -72823307778931466029 - 95406624836910047007,-168229932615841513036
what is 91113545059167120311 / 79029997880890220856,1.15
what is -16187722809416538570 - -93200913345278258682,77013190535861720112
what is 86842014313150019550 / 19692188363397318590,4.41
what is -56297619893457598202 / -53763728630855980311,1.05
what is -19132637937942781012 - 61398155744531823647,-80530793682474604659
what is -32521594581223930335 - -7496136142327417071,-25025458438896513264
what is 90898393988385478265 * 98308514673026036713,8936086099161695476991311600375953542945
what is -18037660053198061924 + 32966434326394082578,14928774273196020654
what is 53466786054734588490 * 46430465554332176130,2482487768215202259572509577241750743700
what is -80611265513891985820 / 6516372904485112372,-12.37
what is -9368084598858415876 - -42233911779442403391,32865827180583987515
what is -39086194142286783752 / 34474592587225130846,-1.13
what is 1304550287766886923 - -24330018261479495780,25634568549246382703
what is 14785944852520740926 * -11320783749499796431,-167388484207416968026752699242290435106
what is 9892501419396618038 * -20507732562496425853,-202872773483102135585996830210829336414
what is 2895577131207736082 * -65440921785177599984,-189489236566314393981257606198839422688
what is 25092100829606264036 - 80747494847232741594,-55655394017626477558
what is 57388920747378387286 - -75937315587446767307,133326236334825154593
what is -56015650090794844835 * -99355732574604550686,5565475950413635722213211141020262806810
what is -72211356902131150812 * -89478496360486449605,6461363635753130240215708766290692829260
what is 49834141920875114021 / -22467293046026305592,-2.22
what is -1103349423804081785 * -97851467751304711610,107964360561785743906413929620279023850
what is 28493461529686017529 / 57778370687000817238,0.49
what is -21895457589407575365 * 7334233372136811164,-160586395750439255990707565236103374860
what is 88095885220179267022 / 50523619154716728199,1.74
what is 49311474850488783438 / -54067651688919289114,-0.91
what is 68804015271111567903 / -21372438611596580422,-3.22
what is -2146318995246674991 / -44798656176726183675,0.05
what is -70269962725310681851 / 19627976757039623927,-3.58
what is 10717795739257532124 / 76017347543154883357,0.14
what is 90624190357585321997 * 88158956754601787616,7989334078655164713265909376179166989152
what is -71243992266024082866 / -62900380518088217908,1.13
what is 30899284828666387681 - 46004843322201717865,-15105558493535330184
what is -91770317223438004750 + -24055751093497146297,-115826068316935151047
what is 10479923751219104245 + 87173642600633855254,97653566351852959499
what is 84373976602187689750 + -5635374517055008533,78738602085132681217
what is -33414476634930637074 / -27963321254736040874,1.19
what is 7796953640126024952 / 93444040897969517178,0.08
what is -26541710860669157487 * 55064289621701663154,-1461500453887351006281281718019851133998
what is 56772803555581914950 - -81260229317337126401,138033032872919041351
what is 97489890239924328272 * -38499467266278746004,-3753308838085074479959679852120204225088
what is 87812575703283124067 - -66034041679726675589,153846617383009799656
what is 74614809307585016096 / -87120023794317490438,-0.86
what is -62000378766825357860 / -46571221726491920278,1.33
what is 24728045665985969195 / -8346001286739190224,-2.96
what is 75921779470881730692 * 51020469697059219511,3873564848840934085296616295154413931612
what is -5789179453821839313 - -91610648859811275058,85821469405989435745
what is 2337168853277927497 + -86669175459257423697,-84332006605979496200
what is 14713419972976244398 * 67031518027745989531,986262876168355036472341343978605397338
what is -54950613634782793556 * 3851685416161397262,-211652477146212514853257790140649643672
what is 78511845502307610953 - 12013960099325373658,66497885402982237295
what is 94319614468649771265 / 63450919606441300845,1.49
what is -6350142849242048002 + -53480800605050455941,-59830943454292503943
what is -13822157253108888997 + -17841404285840864034,-31663561538949753031
what is -99772349839928378951 * 8828047711621321169,-880795064687461615238737394447110313719
what is -20577468486125538309 / 40406143594486772525,-0.51
what is -95786249745872828739 / -34604528957652595298,2.77
what is -47348070900862187868 - -41215250707407330931,-6132820193454856937
what is -65123896248284048187 - -71272492530382517112,6148596282098468925
what is 54754030782659166028 / 67996859121739130090,0.81
what is -32194547769050094163 + 65106594311701249130,32912046542651154967
what is 18316424078529492367 / 3517180005658181085,5.21
what is 91628949004636638211 / -76717464881967474549,-1.19
what is 6642435904908709356 / -43429018035179977120,-0.15
what is -8241690471580782219 / 58846393824815984335,-0.14
what is -78565466540339499132 / -46579346705900101491,1.69
what is -61852679060897152357 - -64881422217671317465,3028743156774165108
what is 59467268386825963857 - -76282559575416181237,135749827962242145094
what is 22887857271968190330 * -86414438729672204236,-1977841339881977587119975712167080237880
what is 12127900082193005644 - 87224070034650345519,-75096169952457339875
what is 75698531947709102749 + -88597312909005062409,-12898780961295959660
what is 22253485027445161578 - -17163568807312958602,39417053834758120180
what is -67251211035257229678 - -1415439861934769108,-65835771173322460570
what is 50809005013552179510 / -60018398804698744899,-0.85
what is -51707853699671905668 + 9858236161098213255,-41849617538573692413
what is 96146226737513628640 * 33407545740326482206,3212009467493287554868013626033451979840
what is -29431263691546000385 / 42457281091848067174,-0.69
what is 30723527152261978592 + -54109540681724370519,-23386013529462391927
what is -37491208943404259196 - -18489297228706472053,-19001911714697787143
what is 17828701026944624091 * 60407773343761035671,1076992130649350465350564597287936950061
what is 74200731923555293005 + 54265695290605072035,128466427214160365040
what is -73001879325082434403 / -51815503788263740004,1.41
what is -15365112975159367319 - -57335004346384443781,41969891371225076462
what is 42101438096689082004 / 27973800968052925347,1.51
what is 88814868034715097660 * 32916174557115447930,2923445699497855183007693262784594843800
what is -51608478201443196751 + 48665187417536039452,-2943290783907157299
what is 51902299666631616888 + -26322446908298177908,25579852758333438980
what is 66794967610590192742 + -33081178058656931059,33713789551933261683
what is 30625422956324482815 - -63354987068149039980,93980410024473522795
what is -76574351316927792154 / 45371286643433304445,-1.69
what is 52735987370121708689 * -55921839820422260604,-2949093438483757577090404160244529188156
what is 25397937486424936579 + 2705211692664228492,28103149179089165071
what is 72839970530476475904 - 90746833583187395966,-17906863052710920062
what is 391010067967526603 - 35556701452466475020,-35165691384498948417
what is 27095140658382168959 / -66539002859498207711,-0.41
what is 61795526553130811543 - -83042489597068864190,144838016150199675733
what is 66519448178199523944 * 71203568043674066956,4736422054584080754325090420257581194464
what is 32963792407584312114 - 94065966903172017741,-61102174495587705627
what is -32991440906265750478 + -84002285926646591841,-116993726832912342319
what is -19855584195968957103 / 40020014918874446216,-0.5
what is -49698579070511077483 / 54182822111611703817,-0.92
what is -50796053508925177721 - 29068916311951261812,-79864969820876439533
what is 54115937864594108821 * 10980009687912607750,594193522023720033471459183341387962750
what is -57889513154183280756 * -38201053640448916043,2211440397222428629727508159133741568508
what is 84210430189224885664 * 21555996953588085780,1815239776619273805326923246273124257920
what is -80540619113658296749 + 42918208247276114593,-37622410866382182156
what is 31001758049472650062 * 2658467487931537902,82417165843242890337272898839135649924
what is -86052748084498875870 + 48282985542561778621,-37769762541937097249
what is 8039941228152105510 + -4888354333877495517,3151586894274609993
what is 39169369903468868968 + -64694537480043141492,-25525167576574272524
what is 12639215757203263891 * -59370005790389881614,-750390312691144809254680569541891000074
what is 22130335414503355833 / 12751002993566507291,1.74
what is -91428144556358367670 - -6350509489969230107,-85077635066389137563
what is 33338353058161811786 - -28211145433881262406,61549498492043074192
what is 42408493232393494801 / -95636465435250621417,-0.44
what is -76548086578030683037 + 27602533205072284203,-48945553372958398834
what is -64813833866292325779 + -87190034949639297099,-152003868815931622878
what is 26656613539698553314 * 24321544391223346383,648330009525463663402051660567014563262
what is -47101918559013750705 + -39606212371930292887,-86708130930944043592
what is 62899022337150721009 / -78293541949456321607,-0.8
what is -85282203543716652688 / -75590165622920542095,1.13
what is -28977186762552254075 + 54108370729318753372,25131183966766499297
what is 94260372269374372600 + -56760203802067315775,37500168467307056825
what is -66399811768253008310 / 55470766231574895907,-1.2
what is -26984301487463609458 + -37286998109445467795,-64271299596909077253
what is -81692868365639146748 * -497263245317773671,40622860842815411286010599183419671908
what is 8733722813092527851 + 34339511868264289410,43073234681356817261
what is -90916425923627449200 + -60832003227348200480,-151748429150975649680
what is 32506079867974446787 * 38283407960865899402,1244443516794155680321075536944144121374
